# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
389.000000 5.36955346e+03 5.72059350e+01 1.61802818e+02
390.000000 5.38315204e+03 5.73130058e+01 1.62105660e+02
391.000000 5.39678255e+03 5.74322564e+01 1.62442952e+02
392.000000 5.41039291e+03 5.75510190e+01 1.62778863e+02
393.000000 5.42395441e+03 5.76748816e+01 1.63129200e+02
394.000000 5.43755107e+03 5.78053294e+01 1.63498162e+02
395.000000 5.45104461e+03 5.78927673e+01 1.63745473e+02
396.000000 5.46454876e+03 5.79848948e+01 1.64006049e+02
397.000000 5.47800695e+03 5.80738785e+01 1.64257733e+02
398.000000 5.49139572e+03 5.81692545e+01 1.64527497e+02
399.000000 5.50481766e+03 5.82731983e+01 1.64821495e+02
400.000000 5.51831489e+03 5.83565763e+01 1.65057323e+02
401.000000 5.53171463e+03 5.84394441e+01 1.65291709e+02
402.000000 5.54513770e+03 5.85694695e+01 1.65659476e+02
403.000000 5.55852067e+03 5.86757830e+01 1.65960176e+02
404.000000 5.57193488e+03 5.87640600e+01 1.66209861e+02
405.000000 5.58534983e+03 5.88512817e+01 1.66456562e+02
406.000000 5.59875776e+03 5.89484424e+01 1.66731373e+02
407.000000 5.61215868e+03 5.90623580e+01 1.67053575e+02
408.000000 5.62558577e+03 5.92228327e+01 1.67507466e+02
409.000000 5.63907403e+03 5.93695474e+01 1.67922438e+02
410.000000 5.65255264e+03 5.95466016e+01 1.68423223e+02
411.000000 5.66594458e+03 5.97143179e+01 1.68897596e+02
412.000000 5.67942455e+03 5.98464604e+01 1.69271352e+02
413.000000 5.69286672e+03 6.00179488e+01 1.69756394e+02
414.000000 5.70643262e+03 6.01895945e+01 1.70241882e+02
415.000000 5.71991391e+03 6.03539501e+01 1.70706749e+02
416.000000 5.73347112e+03 6.05159954e+01 1.71165083e+02
417.000000 5.74701694e+03 6.06614543e+01 1.71576503e+02
418.000000 5.76060874e+03 6.08150627e+01 1.72010973e+02
419.000000 5.77420110e+03 6.09544066e+01 1.72405097e+02
420.000000 5.78782652e+03 6.10863484e+01 1.72778285e+02
421.000000 5.80132689e+03 6.12322760e+01 1.73191030e+02
422.000000 5.81480148e+03 6.14098449e+01 1.73693271e+02
423.000000 5.82827795e+03 6.15659217e+01 1.74134723e+02
424.000000 5.84179406e+03 6.17286515e+01 1.74594992e+02
